Date,Price,Open,High,Low,Vol.
May 26 2022,29203.50,29537.90,29868.90,28077.90,126.71K
May 25 2022,29540.60,29648.70,30202.30,29353.50,78.85K
May 24 2022,29648.70,29091.60,29810.80,28706.10,79.42K
May 23 2022,29093.30,30287.30,30644.80,28913.60,92.10K
May 22 2022,30286.60,29433.00,30462.00,29260.10,50.60K
May 21 2022,29434.60,29188.70,29623.20,28953.90,32.27K
May 20 2022,29178.60,30305.90,30735.10,28738.50,98.78K
May 19 2022,30305.90,28700.40,30525.10,28682.10,101.38K
May 18 2022,28683.70,30437.50,30687.90,28648.10,92.03K
May 17 2022,30437.50,29856.70,30720.10,29484.50,79.63K
May 16 2022,29849.00,31308.30,31312.40,29135.80,100.25K
May 15 2022,31308.70,30078.60,31383.80,29499.40,65.44K
May 14 2022,30080.40,29285.20,30277.40,28666.70,70.46K
May 13 2022,29284.40,28994.30,31002.70,28755.00,141.23K
May 12 2022,28976.00,29073.40,30136.70,26500.50,309.48K
May 11 2022,29068.20,31008.00,32113.60,27835.50,296.90K
May 10 2022,31007.50,30098.20,32621.20,29831.00,235.61K
May 09 2022,30095.00,34041.00,34227.00,30095.00,268.09K
May 08 2022,34060.00,35468.00,35497.00,33727.00,671.05M
May 07 2022,35468.00,36003.00,36119.00,34773.00,288.86M
May 06 2022,36009.00,36540.00,36646.00,35267.00,752.84M
May 05 2022,36544.00,39686.00,39833.00,36183.00,1.04B
May 04 2022,39688.00,37717.00,40021.00,37660.00,691.49M
May 03 2022,37718.00,38515.00,38647.00,37513.00,367.21M
May 02 2022,38514.00,38472.00,39134.00,38061.00,580.79M
May 01 2022,38461.00,37642.00,38676.00,37397.00,276.99M
Apr 30 2022,37650.00,38590.00,38776.00,37596.00,248.22M
Apr 29 2022,38581.00,39748.00,39919.00,38175.00,382.90M
Apr 28 2022,39748.00,39243.00,40382.00,38888.00,542.39M
Apr 27 2022,39243.00,38113.00,39447.00,37869.00,426.83M
Apr 26 2022,38113.00,40443.00,40770.00,37708.00,681.47M
Apr 25 2022,40427.00,39464.00,40599.00,38233.00,654.60M
Apr 24 2022,39464.00,39434.00,39929.00,39033.00,283.63M
Apr 23 2022,39418.00,39709.00,39973.00,39291.00,190.60M
Apr 22 2022,39709.00,40487.00,40792.00,39200.00,421.30M
Apr 21 2022,40482.00,41370.00,42969.00,39793.00,493.05M
Apr 20 2022,41368.00,41499.00,42203.00,40915.00,382.84M
Apr 19 2022,41503.00,40809.00,41746.00,40585.00,268.28M
Apr 18 2022,40803.00,39700.00,41095.00,38577.00,484.26M
Apr 17 2022,39703.00,40382.00,40599.00,39561.00,210.01M
Apr 16 2022,40382.00,40571.00,40691.00,40003.00,151.31M
Apr 15 2022,40560.00,39936.00,40850.00,39781.00,233.09M
Apr 14 2022,39936.00,41133.00,41494.00,39585.00,294.29M
Apr 13 2022,41133.00,40072.00,41515.00,39581.00,406.70M
Apr 12 2022,40078.00,39507.00,40678.00,39265.00,468.27M
Apr 11 2022,39497.00,42144.00,42418.00,39202.00,608.38M
Apr 10 2022,42138.00,42760.00,43421.00,41884.00,255.83M
